magic,symbol,type,time_open,time_close,price_open,price_close,stop_loss,take_profit,volume,position_pnl,position_pnl_pips,swap,swap_pips,commission,commission_pips,total_pnl,total_pnl_pips,position_id,comment
20250811,XAUUSD,1,1587106809,1587117265,1705.10,1705.30,1711.07,1671.00,1.82,-33.53,-18.42,0.00,0.00,0.00,0.00,-33.53,-18.42,2,BASE/sl 1705.10/
20250811,XAUUSD,0,1587564000,1587566172,1703.04,1696.98,1697.08,1737.10,1.82,-1014.10,-557.20,0.00,0.00,0.00,0.00,-1014.10,-557.20,4,BASE/sl 1697.08/
20250811,XAUUSD,0,1588233600,1588261291,1712.29,1706.24,1706.30,1746.54,1.79,-996.83,-556.89,0.00,0.00,0.00,0.00,-996.83,-556.89,6,BASE/sl 1706.30/
20250811,XAUUSD,0,1588593610,1588606251,1705.31,1698.81,1699.34,1739.42,1.79,-1063.78,-594.29,0.00,0.00,0.00,0.00,-1063.78,-594.29,8,BASE/sl 1699.34/
20250811,XAUUSD,1,1589886000,1589889247,1731.57,1737.65,1737.63,1696.94,1.74,-966.36,-555.38,0.00,0.00,0.00,0.00,-966.36,-555.38,10,BASE/sl 1737.63/
20250811,XAUUSD,1,1590062400,1590074482,1734.13,1740.33,1740.20,1699.45,1.73,-974.86,-563.50,0.00,0.00,0.00,0.00,-974.86,-563.50,12,BASE/sl 1740.20/
20250811,XAUUSD,0,1591707600,1591822899,1708.95,1708.92,1702.97,1743.13,1.78,-4.71,-2.65,-19.78,-11.11,0.00,0.00,-24.49,-13.76,14,BASE/sl 1708.95/
20250811,XAUUSD,1,1592226000,1592244375,1713.94,1720.03,1719.94,1679.66,1.77,-955.89,-540.05,0.00,0.00,0.00,0.00,-955.89,-540.05,16,BASE/sl 1719.94/
20250811,XAUUSD,0,1592308800,1592320746,1729.77,1723.54,1723.72,1764.37,1.76,-969.91,-551.09,0.00,0.00,0.00,0.00,-969.91,-551.09,18,BASE/sl 1723.72/
20250811,XAUUSD,1,1592395200,1592415381,1719.89,1725.91,1725.91,1685.49,1.73,-928.48,-536.69,0.00,0.00,0.00,0.00,-928.48,-536.69,20,BASE/sl 1725.91/
20250811,XAUUSD,0,1592560800,1592929265,1730.77,1765.42,1724.71,1765.39,1.70,5200.73,3059.25,-38.18,-22.46,0.00,0.00,5162.55,3036.79,22,BASE/tp 1765.39/
20250811,XAUUSD,0,1594623600,1594699217,1803.41,1796.99,1797.10,1839.48,1.74,-984.48,-565.79,-19.33,-11.11,0.00,0.00,-1003.81,-576.90,24,BASE/sl 1797.10/
20250811,XAUUSD,1,1594710000,1594740705,1797.78,1804.70,1804.07,1761.82,1.73,-1052.49,-608.38,0.00,0.00,0.00,0.00,-1052.49,-608.38,26,BASE/sl 1804.07/
